scenario,naics_prefix,sector_label,skill_category,calibration_score,demand_label,qatarization_relevance,time_horizon,supporting_sources,source_titles,signal_count
S1,23,construction_real_estate,sustainable construction,0.2308,↑ Moderate increase,medium,both,QNDS2,Qatar Third National Development Strategy 2024-2030,1
S1,53,construction_real_estate,sustainable construction,0.2308,↑ Moderate increase,medium,both,QNDS2,Qatar Third National Development Strategy 2024-2030,1
S1,23,construction_real_estate,project management,0.1923,→ Stable,high,near_term,ILO_QATAR_LABOUR_2023,ILO — Qatar Labour Market and Skills Assessment,1
S1,53,construction_real_estate,project management,0.1923,→ Stable,high,near_term,ILO_QATAR_LABOUR_2023,ILO — Qatar Labour Market and Skills Assessment,1
S1,all,cross_sector,project management,0.5385,↑ Moderate increase,high,both,QFZA_TECH_2024; QNDS2,Qatar Free Zones Authority — Technology Sector Investment Strategy; Qatar Third National Development Strategy 2024-2030,2
S1,all,cross_sector,project management and governance,0.5385,↑ Moderate increase,high,both,QNV2030; WB_QATAR_2024,Qatar National Vision 2030; World Bank — Qatar Economic Monitor 2024,2
S1,all,cross_sector,research and development,0.5385,↑ Moderate increase,high,medium_term,RAND_QATAR_WORKFORCE,RAND — Building a Knowledge Economy in Qatar,1
S1,all,cross_sector,sustainability and green skills,0.5385,↑ Moderate increase,medium,medium_term,WEF_FUTURE_JOBS_2023,WEF Future of Jobs Report 2023 — MENA Skills Outlook,1
S1,all,cross_sector,future-focused problem solving,0.4615,↑ Moderate increase,high,both,QF_EDU_STRATEGY,Qatar Foundation — Education for a New Era,1
S1,all,cross_sector,data analytics and statistics,0.4615,↑ Moderate increase,high,both,MDPS_LFS_2023,Qatar Labour Force Sample Survey 2023,1
S1,all,cross_sector,digital literacy,0.3846,↑ Moderate increase,high,both,ILO_QATAR_LABOUR_2023,ILO — Qatar Labour Market and Skills Assessment,1
S1,all,cross_sector,management leadership,0.3846,↑ Moderate increase,high,both,ILO_QATAR_LABOUR_2023,ILO — Qatar Labour Market and Skills Assessment,1
S1,all,cross_sector,digital governance,0.359,↑ Moderate increase,high,both,WB_MENA_JOBS_2023,World Bank — Jobs Undone: Reshaping the Role of Governments toward Markets and Workers in MENA,1
S1,all,cross_sector,multilingual communication,0.3462,↑ Moderate increase,high,both,QATAR_TOURISM_2030,Qatar National Tourism Strategy 2030,1
S1,all,cross_sector,environmental management,0.3077,↑ Moderate increase,medium,both,QNV2030,Qatar National Vision 2030,1
S1,all,cross_sector,analytical and critical thinking,0.2692,↑ Moderate increase,high,both,WEF_FUTURE_JOBS_2023,WEF Future of Jobs Report 2023 — MENA Skills Outlook,1
S1,all,cross_sector,creative and design thinking,0.2692,↑ Moderate increase,high,both,WEF_FUTURE_JOBS_2023,WEF Future of Jobs Report 2023 — MENA Skills Outlook,1
S1,all,cross_sector,human resources management,0.2308,↑ Moderate increase,high,both,MDPS_LFS_2023,Qatar Labour Force Sample Survey 2023,1
S1,all,cross_sector,expenditure management,0.1795,→ Stable,high,both,WB_MENA_JOBS_2023,World Bank — Jobs Undone: Reshaping the Role of Governments toward Markets and Workers in MENA,1
S1,all,cross_sector,institutional strengthening,0.1795,→ Stable,high,medium_term,WB_MENA_JOBS_2023,World Bank — Jobs Undone: Reshaping the Role of Governments toward Markets and Workers in MENA,1
S1,all,cross_sector,transparency and accountability,0.1795,→ Stable,high,both,WB_MENA_JOBS_2023,World Bank — Jobs Undone: Reshaping the Role of Governments toward Markets and Workers in MENA,1
S1,61,education,educational leadership and pedagogy,0.6154,↑↑ Strong increase,high,both,QNV2030,Qatar National Vision 2030,1
S1,61,education,STEM education delivery,0.5385,↑ Moderate increase,high,both,RAND_QATAR_WORKFORCE,RAND — Building a Knowledge Economy in Qatar,1
S1,61,education,multidisciplinary education delivery,0.4615,↑ Moderate increase,high,both,QF_EDU_STRATEGY,Qatar Foundation — Education for a New Era,1
S1,61,education,research and innovation facilitation,0.4615,↑ Moderate increase,high,both,QF_EDU_STRATEGY,Qatar Foundation — Education for a New Era,1
S1,61,education,skills development and training,0.4615,↑ Moderate increase,high,both,MDPS_LFS_2023,Qatar Labour Force Sample Survey 2023,1
S1,61,education,adult learning and workforce development,0.2692,↑ Moderate increase,medium,near_term,RAND_QATAR_WORKFORCE,RAND — Building a Knowledge Economy in Qatar,1
S1,61,education,global education partnerships,0.2308,↑ Moderate increase,medium,both,QF_EDU_STRATEGY,Qatar Foundation — Education for a New Era,1
S1,61,education,digital education and research,0.2308,↑ Moderate increase,high,medium_term,WB_QATAR_2024,World Bank — Qatar Economic Monitor 2024,1
S1,61,education,educational innovation,0.2308,↑ Moderate increase,high,both,QNDS2,Qatar Third National Development Strategy 2024-2030,1
S1,61,education,educational delivery,0.1923,→ Stable,high,medium_term,ILO_QATAR_LABOUR_2023,ILO — Qatar Labour Market and Skills Assessment,1
S1,21,energy_lng,technical operations,0.3846,↑ Moderate increase,high,both,ILO_QATAR_LABOUR_2023,ILO — Qatar Labour Market and Skills Assessment,1
S1,22,energy_lng,technical operations,0.3846,↑ Moderate increase,high,both,ILO_QATAR_LABOUR_2023,ILO — Qatar Labour Market and Skills Assessment,1
S1,52,finance_banking,fintech and digital finance,0.5385,↑ Moderate increase,high,both,WEF_FUTURE_JOBS_2023,WEF Future of Jobs Report 2023 — MENA Skills Outlook,1
S1,52,finance_banking,financial technology and regulation,0.4615,↑ Moderate increase,high,both,WB_QATAR_2024,World Bank — Qatar Economic Monitor 2024,1
S1,52,finance_banking,financial services and investment,0.3077,↑ Moderate increase,high,medium_term,QNV2030,Qatar National Vision 2030,1
S1,52,finance_banking,economic analysis,0.2308,↑ Moderate increase,medium,medium_term,MDPS_LFS_2023,Qatar Labour Force Sample Survey 2023,1
S1,52,finance_banking,fintech and islamic finance,0.2308,↑ Moderate increase,high,near_term,QNDS2,Qatar Third National Development Strategy 2024-2030,1
S1,52,finance_banking,financial analysis,0.1923,→ Stable,high,medium_term,ILO_QATAR_LABOUR_2023,ILO — Qatar Labour Market and Skills Assessment,1
