scenario,source_id,total_weighted,signal_count,avg_quality,avg_scenario_w,publisher,data_quality,scenario_label
S1,QATARIZATION_POLICY,14.699999999999998,8,1.5,0.7,"Ministry of Labour, Qatar",high,S1: Diversification Acceleration
S1,QNDS3,13.649999999999999,7,1.5,0.7,"Ministry of Development Planning and Statistics, Qatar",high,S1: Diversification Acceleration
S1,WEF_FUTURE_JOBS_2023,13.649999999999999,8,1.5,0.7,World Economic Forum,high,S1: Diversification Acceleration
S1,QATAR_TOURISM_2030,13.5,6,1.5,0.9,Qatar Tourism,high,S1: Diversification Acceleration
S1,SIDRA_STRATEGY,12.15,5,1.5,0.9,Sidra Medicine / Qatar Foundation,high,S1: Diversification Acceleration
S1,QF_HIGHER_ED_STRATEGY,12.000000000000002,6,1.5,0.8000000000000002,Qatar Foundation,high,S1: Diversification Acceleration
S1,QNV2030,10.8,6,1.5,0.8000000000000002,"General Secretariat for Development Planning, Qatar",high,S1: Diversification Acceleration
S1,OXFORD_ECONOMICS_GCC,10.799999999999999,8,1.5,0.6,Oxford Economics,high,S1: Diversification Acceleration
S1,OECD_AI_SKILLS_2023,10.499999999999998,6,1.5,0.6999999999999998,OECD,high,S1: Diversification Acceleration
S1,STRATEGY_AND_GCC_DIGITAL,10.499999999999998,6,1.5,0.6999999999999998,Strategy& (PwC),high,S1: Diversification Acceleration
S1,KEARNEY_GCC_TALENT,9.899999999999999,6,1.5,0.6,Kearney,high,S1: Diversification Acceleration
S1,ILO_QATAR_LABOUR_2023,9.75,8,1.5,0.5,International Labour Organization,high,S1: Diversification Acceleration
S1,MCK_FUTURE_WORK_GCC,9.600000000000001,6,1.5,0.8000000000000002,McKinsey Global Institute,high,S1: Diversification Acceleration
S1,QFZA_TECH_2024,9.600000000000001,5,1.5,0.8,QFZA,high,S1: Diversification Acceleration
S1,QATAR_NHDS_2024,9.450000000000001,5,1.5,0.9,"Ministry of Public Health, Qatar",high,S1: Diversification Acceleration
S1,RAND_QATAR_WORKFORCE,9.45,5,1.5,0.7,RAND Corporation,high,S1: Diversification Acceleration
S1,GS_GULF_VISION_2024,9.0,5,1.5,0.6,Goldman Sachs Research,high,S1: Diversification Acceleration
S1,MDPS_LFS_2023,7.199999999999999,5,1.5,0.6,"Planning and Statistics Authority (PSA), Qatar",high,S1: Diversification Acceleration
S1,QNDS2,7.199999999999999,6,1.5,0.6,"Ministry of Development Planning and Statistics, Qatar",high,S1: Diversification Acceleration
S1,QF_EDU_STRATEGY,6.300000000000001,4,1.0,0.9,Qatar Foundation,medium,S1: Diversification Acceleration
S1,QF_EDU_WEBSITE,6.3,4,1.0,0.9,Qatar Foundation,medium,S1: Diversification Acceleration
S1,WB_QATAR_2024,6.299999999999999,5,1.5,0.6,World Bank,high,S1: Diversification Acceleration
S1,WB_MENA_JOBS_2023,3.5,4,1.0,0.7,World Bank,medium,S1: Diversification Acceleration
S1,WEF_RESKILLING_2024,3.2,5,1.0,0.4,World Economic Forum,medium,S1: Diversification Acceleration
S1,DELOITTE_GCC_SERVICES,3.15,6,1.0,0.3499999999999999,Deloitte,medium,S1: Diversification Acceleration
S1,UNESCO_AI_EDUCATION,2.25,3,1.5,0.3,UNESCO,high,S1: Diversification Acceleration
S1,MS_MENA_OUTLOOK_2024,1.7999999999999998,3,1.5,0.3,Morgan Stanley Research,high,S1: Diversification Acceleration
S1,HBKU_STRATEGY,1.0499999999999998,3,0.5,0.6999999999999998,HBKU / Qatar Foundation,low,S1: Diversification Acceleration
S1,QSTP_INNOVATION,0.8,2,1.0,0.2,Qatar Foundation / QSTP,medium,S1: Diversification Acceleration
S1,BROOKINGS_QATAR_SOFT_POWER,0.6000000000000001,2,1.0,0.2,Brookings Institution / Brookings Doha Center,medium,S1: Diversification Acceleration
S1,QATAR_LOGISTICS_2030,0.4,1,1.0,0.2,Qatar General Authority of Customs / Mwani Qatar,medium,S1: Diversification Acceleration
S2,IEA_GAS_OUTLOOK_2024,6.299999999999999,4,1.5,0.7,International Energy Agency,high,S2: Hydrocarbon Dominance
