scenario,skill_category,total_weighted,signal_count,avg_demand_score,avg_quality,sources,sector,penalty,adjusted_weight,normalized_weight,scenario_label
S1,digital transformation,11.7,6,2.0,1.5,"KEARNEY_GCC_TALENT, MDPS_LFS_2023, QATARIZATION_POLICY, QNDS2, QNDS3, STRATEGY_AND_GCC_DIGITAL",technology_digital,1.0,11.7,1.0,S1: Diversification Acceleration
S1,data analytics and AI,5.3999999999999995,3,2.0,1.5,"GS_GULF_VISION_2024, OXFORD_ECONOMICS_GCC, WB_QATAR_2024",technology_digital,1.0,5.3999999999999995,0.4615384615384615,S1: Diversification Acceleration
S1,fintech and digital banking,4.799999999999999,3,1.6666666666666667,1.5,"KEARNEY_GCC_TALENT, OXFORD_ECONOMICS_GCC, STRATEGY_AND_GCC_DIGITAL",finance_banking,1.0,4.799999999999999,0.4102564102564102,S1: Diversification Acceleration
S1,digital literacy and data skills,4.5,2,2.0,1.5,"MCK_FUTURE_WORK_GCC, OECD_AI_SKILLS_2023",cross_sector,1.0,4.5,0.38461538461538464,S1: Diversification Acceleration
S1,research and development,4.5,2,2.0,1.5,"QF_HIGHER_ED_STRATEGY, RAND_QATAR_WORKFORCE",cross_sector,1.0,4.5,0.38461538461538464,S1: Diversification Acceleration
S1,artificial intelligence and machine learning,4.199999999999999,2,2.0,1.5,"OECD_AI_SKILLS_2023, WEF_FUTURE_JOBS_2023",technology_digital,1.0,4.199999999999999,0.3589743589743589,S1: Diversification Acceleration
S1,cybersecurity,4.199999999999999,2,2.0,1.5,"STRATEGY_AND_GCC_DIGITAL, WEF_FUTURE_JOBS_2023",technology_digital,1.0,4.199999999999999,0.3589743589743589,S1: Diversification Acceleration
S1,software development,3.9000000000000004,2,2.0,1.5,"ILO_QATAR_LABOUR_2023, QFZA_TECH_2024",technology_digital,1.0,3.9000000000000004,0.33333333333333337,S1: Diversification Acceleration
S1,leadership and management,3.8999999999999995,2,2.0,1.5,"KEARNEY_GCC_TALENT, QATARIZATION_POLICY",cross_sector,1.0,3.8999999999999995,0.3333333333333333,S1: Diversification Acceleration
S1,educational technology,3.6500000000000004,3,1.3333333333333333,1.1666666666666667,"HBKU_STRATEGY, KEARNEY_GCC_TALENT, QF_HIGHER_ED_STRATEGY",technology_digital,1.0,3.6500000000000004,0.311965811965812,S1: Diversification Acceleration
S1,hospitality management,3.6,2,1.5,1.5,"OXFORD_ECONOMICS_GCC, QATAR_TOURISM_2030",tourism_hospitality,1.0,3.6,0.3076923076923077,S1: Diversification Acceleration
S1,multidisciplinary education delivery,3.6,2,2.0,1.0,"QF_EDU_STRATEGY, QF_EDU_WEBSITE",education,1.0,3.6,0.3076923076923077,S1: Diversification Acceleration
